step,lr,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.003,1,0.9984820086707816,0.889141106035241,0.41308911423742506,1.9421592789553677,0.8990357345433919,0.3872824410590659
2,0.002999814948722491,2,0.7431788640475464,0.9334903385069375,0.46480012133107573,1.0315268762532244,0.9506522972206466,0.49527182060069624
3,0.0029992598405485975,3,0.6210254508077809,0.947166813267883,0.4936328510388552,1.6775379567171995,0.9437322745320477,0.5134337781803487
4,0.0029983348124429554,4,0.604279081604556,0.9445563658031382,0.49521062563192997,2.113212357646555,0.9649461145774249,0.5320436572541622
5,0.0029970400926424075,5,0.5775488883430688,0.9510824844650001,0.5098422637448957,1.6817568327240557,0.9641520136131594,0.5439473731635355
6,0.0029953760005996923,6,0.5009895275351348,0.9601906761626422,0.5224898258382898,1.7721370438317716,0.9685762904140669,0.5629624777700422
7,0.00299334294690462,7,0.47490195778584593,0.9598218085861022,0.5278614769763788,1.706222676581709,0.9623369256948383,0.5162827758015595
8,0.00299094143318277,8,0.46578175801020305,0.9661776806741764,0.539701992544998,2.0154001926638765,0.9571185479296653,0.56478564028302
9,0.002988172051971717,9,0.4164301842942403,0.971029708027126,0.5511612863344917,2.2659844937509797,0.9800340328984685,0.6009448610023266
10,0.0029850354865748364,10,0.4052186187227647,0.9702919728740459,0.5509389266111444,2.741796865628243,0.9745887691435053,0.5642434594608877
11,0.002981532510892707,11,0.4139319807261434,0.9676531509803366,0.5418787397748503,1.9697809156476267,0.9684628474191719,0.5890069095720397
12,0.002977663989232161,12,0.37129513736571884,0.9693272422892489,0.5573348222930673,1.7351702206593242,0.9665343165059558,0.5681436132442937
13,0.0029734308760930336,13,0.3445448964209297,0.9744630139318446,0.5624448455259229,2.375916629235175,0.9666477595008508,0.6111281586423303
14,0.002968834215932649,14,0.38394630846833006,0.965695315381778,0.5641093324541294,2.459162494682211,0.9785592739648327,0.5656260735836104
15,0.0029638751429081215,15,0.3617940860089672,0.9721930596146753,0.570234483622891,1.975489826278124,0.9747022121384005,0.553374947559204
16,0.002958554880596515,16,0.32858712569074044,0.9719093153250291,0.566071172309926,2.1253044385498923,0.9678956324446966,0.5594585795036212
17,0.0029528747416929465,17,0.3040264295795942,0.9735834066339415,0.5749722740189013,2.409366942439239,0.9691435053885422,0.5975233029553345
18,0.002946836127686697,18,0.29739585881525055,0.9748602559373493,0.584336113306052,1.6002598638333045,0.9587067498581963,0.5638658138610063
19,0.0029404405285154145,19,0.33829629871444283,0.9662060551031411,0.5581535024589788,1.62100181705358,0.9832104367555303,0.606309771986559
20,0.002933689522197495,20,0.3544711205230257,0.9695258632920013,0.5693198979319954,2.624377751918388,0.9538287010777085,0.5921246271704526
21,0.0029265847744427303,21,0.29017572984527695,0.973469908918083,0.5896481598927019,3.3012960504146713,0.9807146908678389,0.5752550249578692
22,0.0029191280382413177,22,0.2685891767831163,0.969100246857532,0.5776264444845329,2.3319353562776026,0.9867271695972774,0.6363335635357934
23,0.002911321153431338,23,0.22771338541300104,0.9764208495304032,0.5947944289585101,2.0971541921658337,0.9785592739648327,0.5785607628538251
24,0.002903166046244801,24,0.26402031807668386,0.9771585846834833,0.7309857569577686,2.916455561439895,0.9776517300056722,0.5866453218331412
25,0.0028946647288323767,25,0.15901791585020392,0.9813580001702465,0.6857232670308183,2.946653064853822,0.9833238797504255,0.6048222779872744
26,0.0028858192987669296,26,0.19428928381093322,0.9804500184433789,0.608327273588816,2.529263208349253,0.9752694271128758,0.5579945200661053
27,0.002876631938525971,27,0.27534387735937194,0.9749453792242431,0.5869102695639095,2.001392224466537,0.9618831537152581,0.5684723011861328
28,0.002867104914953167,28,0.19113310161814484,0.9782368129841387,0.6005132559616467,2.792525326739099,0.984344866704481,0.6218125761597174
29,0.002857240578699029,29,0.16789451800262326,0.983400959055699,0.6609744345163361,2.975101467084628,0.9854792966534317,0.615754568458294
30,0.0028470413636409227,30,0.15806645320526158,0.9827767216184774,0.696664574604348,2.682686607141557,0.98252977878616,0.5943980199333324
31,0.002836509786282551,31,0.12829311980030286,0.9843940640694606,0.706618653408685,3.052944447445856,0.9844583096993761,0.6242119540014598
32,0.00282564844513304,32,0.09338454593603936,0.9867491416735238,0.7978091787454337,3.0445073700667917,0.9902439024390244,0.6248464883606049
33,0.0028144600200657945,33,0.13257180221444972,0.985699287801833,0.7121611781599801,3.2713510873841076,0.9806012478729439,0.5830951836071785
34,0.002802947271657286,34,0.17015401284134463,0.9799392787220157,0.6982953915485905,2.4657641456536927,0.9787861599546228,0.601678408744666
35,0.0027911130405059146,35,0.11239168535787665,0.9848196805039299,0.7870688110624732,2.2976292002221363,0.9859330686330119,0.6119644271252616
36,0.0027789602465311375,36,0.09292694487066,0.9890758448486224,0.7739741211451479,2.4619859283239545,0.9837776517300056,0.6055346042856286
37,0.0027664918882530217,37,0.08559683511889901,0.9875152512555685,0.6710631802409842,3.6414000800030513,0.9837776517300056,0.5957201536712001
38,0.002753711042052405,38,0.07531455808541894,0.9884516074114008,0.7538943606937532,3.292549363131964,0.9765173000567215,0.5739574753296047
39,0.0027406208614118416,39,0.06092931644268719,0.989331214709304,0.7358008862153768,3.4057060889202426,0.9852524106636416,0.5904283990584568
40,0.0027272245761375343,40,0.052008652964310544,0.991260675878898,0.8074076298751229,3.4675138933046323,0.9855927396483267,0.5964983387377368
41,0.0027135254915624206,41,0.06739391615073148,0.9906080640127117,0.8419205875494045,3.5723219591145887,0.9891094724900737,0.6267256577313524
42,0.0026995269877306354,42,0.053282933596182205,0.9917146667423318,0.850361515853586,3.4855442497830667,0.9874078275666478,0.6158452933177446
43,0.0026852325185635346,43,0.21747427800116859,0.9791731691399711,0.6141086402109595,2.426869089740011,0.9838910947249008,0.5916070316229971
44,0.002670645611007494,44,0.11365413274416752,0.9859262832335499,0.6831217213034527,2.8568023743780917,0.9858196256381169,0.6121917781952316
45,0.002655769864163683,45,0.15285136519186554,0.9841103197798144,0.6476676320485318,3.096568044991366,0.9781055019852524,0.5813420632713626
