step,lr,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.003,1,1.6953422428513516,0.7990220913641995,0.26000061365120913,1.9528718504524338,0.9210436755530346,0.43989705759036885
2,0.002999814948722491,2,1.0039337774791468,0.8635799100666032,0.29177029831707735,2.020164037082118,0.8941576857629041,0.4102782877823876
3,0.0029992598405485975,3,0.9348264425765492,0.8460726769771532,0.2930928612282236,2.109226807199685,0.9273964832671583,0.48157188597958855
4,0.0029983348124429554,4,0.9936695030787318,0.8443609370318843,0.29425255925508365,1.7483445836682248,0.9273964832671583,0.4326467289172092
5,0.0029970400926424075,5,0.8988724185880391,0.8653523933534687,0.3134699148220211,1.825869137058864,0.9363584798638684,0.4748819151216747
6,0.0029953760005996923,6,0.8513708253424727,0.8672239500964246,0.31386241487750066,2.0228372168216393,0.9519001701644924,0.48041962857031345
7,0.00299334294690462,7,0.8069090409412546,0.8807387996963991,0.31236926368511103,1.3029369096558538,0.960068065796937,0.5210090116691711
8,0.00299094143318277,8,0.7692856044312887,0.8874199367748657,0.31612873835265,1.6797290880843718,0.9691435053885422,0.5349509620196395
9,0.002988172051971717,9,0.7995152427599981,0.8556788921613271,0.29903337553424064,1.3776787272651831,0.9492909812819058,0.5145500040881682
10,0.0029850354865748364,10,0.7681153640977622,0.8762986702420156,0.3178053742056008,1.7372947124615354,0.959954622802042,0.5159815286047746
11,0.002981532510892707,11,0.6954873867572459,0.8880097535047338,0.33231069314014366,1.6935753351710292,0.7268292682926829,0.44614242088665595
12,0.002977663989232161,12,0.6923244735833562,0.8759015629951324,0.3147031459810109,1.7556971088432143,0.9787861599546228,0.5885670760042305
13,0.0029734308760930336,13,0.6683260865224746,0.8995396841621945,0.31630729049027356,1.0945482979899972,0.9767441860465116,0.6056881540172513
14,0.002968834215932649,14,0.6684155451893905,0.8981320896629807,0.32593933582337276,1.2174989985459512,0.9801474758933636,0.5873959910422746
15,0.0029638751429081215,15,0.6700793596803406,0.8863871771154854,0.32230265104252087,1.0956858028692071,0.9524673851389677,0.5159163843149532
16,0.002958554880596515,16,0.644643257278402,0.8965743157181909,0.33966537300317495,1.4095312042190349,0.9779920589903573,0.5829760802934896
17,0.0029528747416929465,17,0.5803772155500427,0.9015130006580013,0.35581002196066247,1.6950686648868392,0.9644923425978446,0.5700454295995595
18,0.002946836127686697,18,0.6226812048102198,0.8937512701297731,0.33906970533233344,1.6001492724016992,0.9799205899035734,0.5996515426595613
19,0.0029404405285154145,19,0.6147589178864383,0.8977532739777018,0.34195493854791054,1.5711753993161484,0.9664208735110607,0.5389190054835593
20,0.002933689522197495,20,0.5820657336775813,0.9027968457198199,0.34815170282590074,1.4062980096396303,0.9760635280771413,0.5640287946281115
21,0.0029265847744427303,21,0.5440197552630178,0.9094441248299474,0.33213789686368644,1.5646404244821315,0.9782189449801475,0.5927849546752094
22,0.0029191280382413177,22,0.6204659071608055,0.8826419482980565,0.32677547381226596,1.4704317624975995,0.9676687464549064,0.557880144177788
23,0.002911321153431338,23,0.5946784679902465,0.8910082977895004,0.3316349725654665,1.839048300912552,0.9610890527509927,0.5973242578895241
24,0.002903166046244801,24,0.5493994364110368,0.9052475742357081,0.34307141057515395,1.689044661714283,0.9779920589903573,0.6329420756069304
25,0.0028946647288323767,25,0.5672191214553682,0.8986542160007769,0.33416219827575844,1.6608169570573676,0.9824163357912649,0.5967808763161184
26,0.0028858192987669296,26,0.5464685119565261,0.9005127944060887,0.36066678635974675,1.952757474785154,0.9610890527509927,0.5432886637718598
27,0.002876631938525971,27,0.5513162529536525,0.9035681719217526,0.3542648533140121,1.5593754342010735,0.9758366420873511,0.5831219250850088
28,0.002867104914953167,28,0.5362740978810001,0.9056595966101092,0.34194001280353614,2.1127524186756146,0.9644923425978446,0.5776833246520788
29,0.002857240578699029,29,0.4855090210894614,0.9038511577747238,0.36162410113534704,1.6055922255689152,0.9803743618831537,0.596438010871143
30,0.0028470413636409227,30,0.5049425138012761,0.9058995247563706,0.341015329003668,1.6828755912832152,0.9795802609188883,0.5811617538727761
31,0.002836509786282551,31,0.4990904297044071,0.9166561606536269,0.37053598290496076,1.9994150295862068,0.9862733976176971,0.6091494375834746
32,0.00282564844513304,32,0.4744441784609444,0.9015215124238435,0.32875110019424564,1.9491626026274735,0.9793533749290981,0.5890852342820879
33,0.0028144600200657945,33,0.5050347281467007,0.912022235962257,0.37975854814961896,1.184059828097213,0.9695972773681225,0.6071067207822873
34,0.002802947271657286,34,0.5330702579774398,0.9031810019596228,0.36455298453423596,1.797098435668599,0.9726602382302892,0.5886255749894882
35,0.0027911130405059146,35,0.5011851687682046,0.896745159667747,0.35721082595629783,1.8901922539155456,0.9770845150311969,0.576473898303954
36,0.0027789602465311375,36,0.5062140370889713,0.9013315382702743,0.3586577865713664,1.4484571030852609,0.9836642087351106,0.5966414569390626
37,0.0027664918882530217,37,0.4975952674968168,0.9034770556104794,0.3572372665921472,1.6299954855976224,0.9818491208167895,0.6068045440135302
38,0.002753711042052405,38,0.4566182390287076,0.9140322699069341,0.37299866761329775,1.7823707008321246,0.9866137266023823,0.6169135480509544
39,0.0027406208614118416,39,0.4543638239348479,0.9011253643985694,0.36819133969364565,2.4310035145314863,0.9829835507657402,0.6014321985492732
40,0.0027272245761375343,40,0.4365909255224389,0.9115229289675058,0.35832641441941415,1.855049473483388,0.9768576290414067,0.5755232286234165
41,0.0027135254915624206,41,0.4686066899529496,0.909512069802162,0.3406023455797615,1.657662290997351,0.9787861599546228,0.5733043376252301
42,0.0026995269877306354,42,0.46346366307902065,0.9116465139885589,0.36621799231098795,1.943105138200153,0.918321043675553,0.5181916126755031
43,0.0026852325185635346,43,0.4766781258847918,0.8997295159803523,0.3524630299986248,2.00690383079102,0.9799205899035734,0.5921025889251231
44,0.002670645611007494,44,0.4025534309310032,0.907042412516634,0.3530198260572412,1.5097423625546833,0.9798071469086784,0.6184718921695538
45,0.002655769864163683,45,0.38549363603319425,0.9078675564411797,0.38130420623212463,1.7918968293403807,0.9788996029495178,0.5918292036810368
46,0.0026406089484000456,46,0.40764294163517717,0.9037913332812697,0.3785395569720871,2.372795712657091,0.9858196256381169,0.6071380215728155
47,0.0026251666044456883,47,0.3804646547201648,0.9074726437573887,0.3707553370096016,2.0060254790467833,0.9803743618831537,0.568534497072676
48,0.002609446642467913,48,0.38227668461701053,0.9080421245994813,0.3602963599684257,1.9622302419816102,0.9840045377197958,0.6101285662544338
49,0.0025934529411321162,49,0.3462224622875866,0.9139924737918229,0.3693935851049352,2.158916605597386,0.982643221781055,0.60547710515449
50,0.002577189446644782,50,0.3067586082892518,0.9303435705625636,0.38347325394083415,1.7902199433344166,0.9868406125921725,0.6273176377193297
51,0.00256066017177982,51,0.3382301919915513,0.9183980637997303,0.35812965651536716,2.448725065080131,0.9833238797504255,0.605145754326351
52,0.00254386919488847,52,0.3950943694352001,0.9111397777347713,0.36735926429565907,2.5064195704541286,0.9724333522404991,0.5722780188447475
53,0.002526820658893032,53,0.40207626683727293,0.9081780647672042,0.3607457745649391,1.8039058701801354,0.9851389676687464,0.6065820258477005
54,0.002509518770264659,54,0.37955533786058543,0.9048757348256657,0.3721723706962959,2.8860590317272288,0.9868406125921725,0.611169856007064
55,0.0024919677979854766,55,0.30144180646067636,0.9151543124026569,0.40318753873379565,2.348046910133946,0.9875212705615428,0.6334908423164756
56,0.0024741720724952743,56,0.3130265814936757,0.9205169145194281,0.39861478141078793,1.8300336167275466,0.9852524106636416,0.6191771048864317
57,0.002456135984623033,57,0.3120731130224167,0.9188470512757936,0.4131137540602266,2.1263418172951525,0.9812819058423142,0.5999663286274589
58,0.0024378639845035566,58,0.2977354083469942,0.9253583923829953,0.36815710117527345,2.4535984671460724,0.9871809415768577,0.636549622771203
59,0.0024193605804794633,59,0.25042615437471777,0.9234343830384979,0.3998900715701429,2.6228512536208197,0.9872943845717527,0.6305377856095922
60,0.0024006303379888244,60,0.3535260015491513,0.9093232555468961,0.40605825654386785,2.4371164899384916,0.9823028927963698,0.6092685324412971
61,0.002381677878438708,61,0.3026188192702793,0.923515493982148,0.4342692367557527,2.242680479231979,0.9823028927963698,0.6176550792282411
62,0.002362507878064916,62,0.3340199710453745,0.918372899764912,0.5107730433714303,3.0119590756234564,0.9897901304594441,0.6226596345068423
63,0.0023431250667781942,63,0.27658299233681855,0.9174213601549573,0.5494082942603044,2.2475242886567615,0.9886557005104935,0.6367414541837053
64,0.0023235342269971957,64,0.2742337256989644,0.9151446779730222,0.3701286921351021,3.068164457871842,0.9902439024390244,0.6506227931604237
65,0.002303740192468493,65,0.26532372027602596,0.9163201634649745,0.4052296434177106,2.8048736077864875,0.9901304594441294,0.6903597721842427
66,0.0022837478470739215,66,0.24195436973277906,0.9213051375041731,0.40018018420362506,2.4515993568076375,0.9837776517300056,0.6655527825920703
67,0.0022635621236255553,67,0.2629538758425617,0.9226869051076868,0.44287194719528566,2.643311113245908,0.987748156551333,0.6617424999220066
68,0.0022431880026486098,68,0.2432393266035392,0.9189095894506921,0.4863221333574311,3.33171046077698,0.9886557005104935,0.6432835090841295
69,0.002222630511152571,69,0.2376155073027015,0.9262561178422524,0.3954653352161929,2.92002110413983,0.9891094724900737,0.6288059694354157
70,0.0022018947213908583,70,0.27631209520572086,0.914419119803808,0.4685014982382474,2.793417309977693,0.9817356778218945,0.5911545187657311
71,0.0021809857496093185,71,0.29228052400255283,0.923145339541953,0.5276395975728033,2.8272223151413067,0.9876347135564378,0.6270074404091243
72,0.0021599087547838707,72,0.27123939417685466,0.918014854225713,0.433194345828857,2.9773891438865823,0.9888825865002836,0.6239123900649821
73,0.0021386689373476073,73,0.22751084121817092,0.9273006220672714,0.4618273350221071,2.3294639861252384,0.9901304594441294,0.6643028194632838
