step,lr,epoch,train_loss,train_acc,train_f1
1,0.001,1,1.588245444521797,0.49437524184250486,0.2760344969859267
2,0.0009999993831498518,2,1.2128114161421062,0.6674554955899354,0.3474933543058062
3,0.0009999975326009292,3,1.0552927499171545,0.729554205943337,0.4062827131458543
4,0.000999994448357798,4,0.9940281063020966,0.7502076358357723,0.41523322411907515
5,0.0009999901304280686,5,0.9109189270615771,0.7747581882299552,0.4388724400027904
6,0.000999984578822395,6,0.8934153850288563,0.7725716067657353,0.4031112810817849
7,0.000999977793554475,7,0.8211634916177399,0.7945075035176524,0.42624018454073553
8,0.0009999697746410508,8,0.809828285142806,0.7954258818182862,0.4462709006096731
9,0.0009999605221019082,9,0.7694832518578633,0.8065613792094848,0.46393916435406723
10,0.0009999500359598769,10,0.7402669966551174,0.8106315437490571,0.44982550351580547
11,0.0009999383162408303,11,0.7393009768553591,0.8086140899404519,0.4653757221082027
12,0.000999925362973686,12,0.7172548098732457,0.8137453144108286,0.4762676749675793
13,0.0009999111761904045,13,0.6340270083846415,0.8388174569741957,0.46884071272475664
14,0.0009998957559259906,14,0.6449348020862563,0.8345632371456079,0.5017016043068844
15,0.000999879102218492,15,0.604680528293354,0.8413079173234186,0.49389017495423904
16,0.0009998612151090004,16,0.6152863107635009,0.8344116463971388,0.4650676588515036
17,0.0009998420946416501,17,0.5782430154220843,0.8465622602617744,0.5001510346960778
18,0.000999821740863619,18,0.5658688299307708,0.8463721089700937,0.48787841502560114
19,0.0009998001538251283,19,0.5480394198417013,0.8525293695132886,0.5298796640818088
20,0.0009997773335794417,20,0.537539627647774,0.8539879238750839,0.4931554904653006
21,0.0009997532801828658,21,0.5447601036409941,0.8439628347064622,0.5409547858677071
22,0.00099972799369475,22,0.5308259406518891,0.8505918225868857,0.5294280642234428
23,0.0009997014741774863,23,0.5019100534040835,0.8598604220971598,0.5043239815962396
24,0.000999673721696509,24,0.48640274809229883,0.8637905687086112,0.522415337543079
25,0.0009996447363202943,25,0.48762860667706553,0.8578864584555355,0.508065132595322
26,0.0009996145181203613,26,0.47748244380145966,0.8634654656630646,0.5374570956906985
27,0.0009995830671712697,27,0.4839150237675284,0.8567935923438861,0.5266646940673049
28,0.0009995503835506221,28,0.4542065624477654,0.8671426318878712,0.5132355434389403
29,0.000999516467339062,29,0.456391951970528,0.8657014283980237,0.5446256546684639
30,0.0009994813186202742,30,0.47598317584521693,0.8580051250069106,0.5366553178939444
31,0.0009994449374809847,31,0.46654036500405366,0.8571922405020783,0.5308182404584649
32,0.0009994073240109603,32,0.43169588977743345,0.8740737162767362,0.5250791009659442
33,0.0009993684783030086,33,0.4194841254295133,0.8791440244484907,0.5092203747805277
34,0.0009993284004529773,34,0.4252174107789973,0.8703665418915152,0.5385705858972143
35,0.0009992870905597548,35,0.4173027231530853,0.8785683261046213,0.5503657183780761
36,0.0009992445487252688,36,0.4185313001558374,0.8716889311401564,0.5454114399967366
37,0.0009992007750544874,37,0.44055489524773334,0.8588588942590297,0.5260685570340594
38,0.0009991557696554174,38,0.41342441441000694,0.8732204493196514,0.5326149382764072
39,0.0009991095326391058,39,0.3993372262322046,0.878378572121678,0.5131902120390252
40,0.0009990620641196371,40,0.39214820869744044,0.8741573052573401,0.5160032762776453
41,0.0009990133642141356,41,0.3868791931455464,0.8814341203037639,0.51822020798007
42,0.0009989634330427632,42,0.37961643156725355,0.8823695681143705,0.5440916267037254
43,0.0009989122707287205,43,0.38973075503206933,0.8808237621064422,0.5453057003071892
44,0.000998859877398245,44,0.40146460660187544,0.8693147569048668,0.5375050683659922
45,0.0009988062531806122,45,0.4170101284645374,0.8649814353979948,0.541848316237353
46,0.0009987513982081346,46,0.3983074747323888,0.8726285132903233,0.5400057093691036
47,0.0009986953126161614,47,0.3821743224057225,0.8783078296032695,0.5443814324320985
48,0.000998637996543078,48,0.3723658438096399,0.8839556100230478,0.5456067861324465
49,0.0009985794501303064,49,0.3652170865282687,0.879516580292042,0.5437618714654678
50,0.000998519673522304,50,0.39159221328405563,0.8691926068118877,0.5203264565781501
51,0.0009984586668665635,51,0.37927280107375066,0.874964229236713,0.5396208033572194
52,0.0009983964303136128,52,0.3606690453785807,0.8794097253820742,0.5491107270169204
53,0.0009983329640170144,53,0.3784655648856397,0.8772177611422647,0.563146962556081
54,0.0009982682681333652,54,0.3704676800122173,0.8763948682364991,0.5425119756927503
55,0.0009982023428222956,55,0.36018888227306817,0.883312182443121,0.5605838677307504
56,0.00099813518824647,56,0.3471302538396188,0.8861815417531466,0.560064700606928
57,0.0009980668045715857,57,0.3640309068635176,0.8796381995342345,0.5471701757366314
58,0.0009979971919663725,58,0.3605824954944332,0.8742821567797866,0.5267868013567192
59,0.0009979263506025924,59,0.3455363499192348,0.8844758426556655,0.5498404186078721
60,0.0009978542806550396,60,0.35258827452281927,0.882672622346321,0.5452363131054109
61,0.0009977809823015396,61,0.3379338893922193,0.8898467826664381,0.5495137268268594
62,0.0009977064557229486,62,0.3320563239955325,0.8903645795551709,0.5682711864750847
63,0.0009976307011031538,63,0.3837006089617015,0.8642520190972441,0.5387006847570364
64,0.000997553718629072,64,0.3498505840196625,0.8800422735130485,0.5595557195774593
65,0.0009974755084906498,65,0.3508319591050949,0.8833058249504225,0.5408807855856603
66,0.0009973960708808628,66,0.35546550600971244,0.8785497915349416,0.5329922606160524
67,0.0009973154059957157,67,0.3679198398290464,0.8732509826066925,0.5359110290448237
68,0.000997233514034241,68,0.3409076725738373,0.885646276858591,0.5865497295666654
69,0.0009971503951984992,69,0.3532113349622438,0.8771076491852938,0.5673285556380442
70,0.0009970660496935772,70,0.34528149113253426,0.8782735607164455,0.5483854784096932
71,0.0009969804777275897,71,0.35676499646290744,0.8754626870023208,0.54463164887968
72,0.0009968936795116765,72,0.307005964256858,0.8990181867215871,0.5794329473949082
73,0.000996805655260004,73,0.3254754882881694,0.8895018295351832,0.5426660306703492
74,0.000996716405189763,74,0.31803140635570815,0.8919312911546284,0.5457786886140612
75,0.0009966259295211694,75,0.3335134752393938,0.8881348182157194,0.5468795809978132
76,0.000996534228477463,76,0.3279536234487891,0.8827521740378946,0.5651139590994203
77,0.0009964413022849066,77,0.3386270748866632,0.8810179015114156,0.5559998683672988
78,0.0009963471511727866,78,0.3509039941910578,0.8729746614050119,0.5493279343701637
79,0.0009962517753734116,79,0.33388630336637903,0.8826025773948574,0.5493430912703542
80,0.0009961551751221118,80,0.3128353193272704,0.8921818198770683,0.5457760431952182
81,0.0009960573506572388,81,0.3304674080249771,0.8840940500994922,0.5334918011379723
82,0.0009959583022201644,82,0.3374965664919446,0.8801955718174544,0.5514992101700364
83,0.0009958580300552813,83,0.31173001947671475,0.8899874884369368,0.5471721433702743
84,0.0009957565344100004,84,0.3112106689031456,0.8892033988958491,0.5432464109988523
85,0.000995653815534753,85,0.30844922660815766,0.8902629614872379,0.5547058934911727
86,0.0009955498736829872,86,0.3187381629392115,0.8870601077083432,0.5311548847131522
87,0.0009954447091111691,87,0.3133722709505665,0.8882619970157248,0.5500468907902423
88,0.000995338322078782,88,0.3003545657241118,0.8941837923861554,0.5615783827304303
89,0.0009952307128483252,89,0.3035908994439191,0.8934525039598697,0.551645265535781
90,0.000995121881685314,90,0.3224461657279938,0.882068469463605,0.5550652994876322
91,0.0009950118288582783,91,0.31928253291065667,0.883711610453057,0.5881603422647591
92,0.0009949005546387626,92,0.3020015163549286,0.8932640692006496,0.5577088669790534
93,0.000994788059301325,93,0.3305472233164279,0.8786737753430416,0.5693197097011328
94,0.0009946743431235366,94,0.2966015100926326,0.8937368545642806,0.5567676161744252
95,0.0009945594063859805,95,0.3257675964239169,0.8803266956694586,0.5703894819851801
96,0.000994443249372252,96,0.29608299612677536,0.8970893564873903,0.548885136474292
97,0.0009943258723689567,97,0.3061915329852589,0.8912534877176388,0.559975450514313
98,0.000994207275665711,98,0.3117210819304716,0.8862812233150071,0.5523278265518169
99,0.00099408745955514,99,0.31520179413816124,0.8847977481074158,0.5377732275874955
100,0.0009939664243328785,100,0.3237711478899747,0.8853327704732178,0.5807857737019246
101,0.0009938441702975686,101,0.2989716257186322,0.8948557587574079,0.5455241727757294
102,0.0009937206977508601,102,0.2992370014432975,0.8933629481442211,0.5506557915142626
103,0.0009935960069974094,103,0.29931390634231714,0.887569342636068,0.5573782390743057
104,0.0009934700983448782,104,0.28647364653410007,0.8946809992927228,0.5686965308280885
105,0.0009933429721039337,105,0.3010235283419303,0.8916191377687743,0.5406522612462775
106,0.0009932146285882475,106,0.31855280629681326,0.8799973253927752,0.5765077701080449
107,0.0009930850681144942,107,0.3036214624998697,0.8879218371203716,0.5668807404389448
108,0.0009929542910023514,108,0.296854262153189,0.8913410200752742,0.5668873261852317
109,0.0009928222975744989,109,0.28622412162598915,0.8993781650896745,0.5566569776469007
110,0.000992689088156617,110,0.3172770985090191,0.8804170259054039,0.5396187831310898
111,0.0009925546630773867,111,0.31619754191178356,0.8827317687249344,0.540537065502128
112,0.0009924190226684889,112,0.2827202516396807,0.902017528434088,0.5425300039955187
113,0.0009922821672646025,113,0.2971892831046844,0.8894425392720042,0.545753612270808
114,0.0009921440972034048,114,0.29387090837409685,0.8913106555859038,0.5466037432275455
115,0.0009920048128255698,115,0.29810486408245107,0.8896637683289162,0.5442691489953294
116,0.000991864314474768,116,0.269858332140304,0.8997694127221619,0.5651966132902955
117,0.0009917226024976648,117,0.30639734118732204,0.8831674164544286,0.5531761243064016
118,0.0009915796772439207,118,0.2986404728763436,0.8892190614008052,0.5652445261151374
119,0.0009914355390661896,119,0.30471253743235927,0.8846239407233889,0.5215606482737748
120,0.000991290188320118,120,0.3158679461502563,0.8784905439102494,0.5574943289408816
121,0.0009911436253643446,121,0.3095089847367279,0.8872134533996868,0.5569178174893238
122,0.0009909958505604985,122,0.28852040808324225,0.8932786319839018,0.545226799666016
123,0.0009908468642731998,123,0.27281495535025074,0.9017471223386091,0.5539154041297851
124,0.000990696666870057,124,0.29239654775744806,0.8906733203659949,0.5563584273117991
125,0.0009905452587216671,125,0.2933740478024231,0.8928138308476706,0.5417700324298391
126,0.0009903926402016153,126,0.29425825669399786,0.8867311516526878,0.5590735145182292
127,0.0009902388116864722,127,0.2806000798274305,0.8969664485286453,0.5470676838213444
128,0.0009900837735557946,128,0.29770804682529123,0.8883248951583681,0.5582556279537662
129,0.0009899275261921233,129,0.27705013830142006,0.8958100260610073,0.5650017175471556
130,0.0009897700699809835,130,0.2962651338192272,0.8896902239650948,0.5547931505702562
131,0.0009896114053108828,131,0.3182765009559952,0.8777558320460391,0.5512231368732132
132,0.0009894515325733102,132,0.2727899911343132,0.9005198731163455,0.5555233035431355
133,0.000989290452162736,133,0.29225568903925897,0.8886232696619065,0.5671349410992914
134,0.00098912816447661,134,0.30152868033827535,0.885680538069837,0.584513920463149
135,0.000988964669915361,135,0.29260954937279626,0.8902179486774526,0.5590412329330505
136,0.0009887999688823954,136,0.29451269263328417,0.8850746140637374,0.5600502913424089
137,0.0009886340617840967,137,0.2782961795921368,0.8977670298298359,0.5504049081699368
138,0.0009884669490298243,138,0.3017947598144581,0.8867546114717078,0.5819846332358057
139,0.0009882986310319121,139,0.2797934745286816,0.8979630598988169,0.5257427255278804
140,0.0009881291082056683,140,0.2990686350298086,0.8803091054560735,0.543864968066637
141,0.0009879583809693736,141,0.2880941285965911,0.895199185700782,0.5814733054459484
142,0.0009877864497442803,142,0.2858292382715181,0.8899612365613376,0.5938605387435568
143,0.0009876133149546117,143,0.31741709393332485,0.8740454431872547,0.5469795834026716
144,0.0009874389770275606,144,0.27226633732606914,0.8953515398115115,0.5740631369012199
145,0.0009872634363932886,145,0.2647745599653402,0.9004236058532679,0.5546149031081292
146,0.0009870866934849247,146,0.2945921975187719,0.883441906120072,0.5592252398774537
147,0.0009869087487385643,147,0.27851183711262817,0.8942878655495369,0.5819654992146216
148,0.0009867296025932687,148,0.26872265909433424,0.8992538979681813,0.5678937197898971
