step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,0.005,0.304708961558342,0.8797,0.1918592014312744,0.9205,1744268032.683512,2025/04/10 15:53:52,12.712366819381714,12.7s
2,2,0.0049987664009143295,0.19767713027000428,0.9215,0.36940637350082395,0.8815,1744268045.1531572,2025/04/10 15:54:05,25.18201208114624,25.2s
3,3,0.00499506682107068,0.17119635989665985,0.9333,0.11654892021417618,0.962,1744268057.534114,2025/04/10 15:54:17,37.562968730926514,37.6s
4,4,0.004988904911507701,0.13839198536872863,0.946,0.09253243044018745,0.9635,1744268069.8804271,2025/04/10 15:54:29,49.909281969070435,49.9s
5,5,0.004980286753286196,0.11723274254798889,0.9576,0.08669047558307648,0.966,1744268082.2763326,2025/04/10 15:54:42,62.305187463760376,1.0m
6,6,0.004969220851487845,0.11881849174201488,0.9547,0.07252489238977432,0.973,1744268094.643008,2025/04/10 15:54:54,74.67186284065247,1.2m
7,7,0.004955718126821723,0.10383392009735107,0.962,0.07872678035497666,0.9695,1744268107.055016,2025/04/10 15:55:07,87.08387088775635,1.5m
8,8,0.004939791904846869,0.10373356430530548,0.9603,0.6754476761817932,0.836,1744268119.4773436,2025/04/10 15:55:19,99.50619840621948,1.7m
9,9,0.004921457902821578,0.11583977526426316,0.9565,0.09847563314437867,0.965,1744268131.8553472,2025/04/10 15:55:31,111.884202003479,1.9m
10,10,0.004900734214192358,0.09600257764458656,0.9626,0.07032796740531921,0.972,1744268144.1243367,2025/04/10 15:55:44,124.15319156646729,2.1m
11,11,0.004877641290737884,0.08180154844522476,0.9699,0.13437330603599548,0.955,1744268156.3954792,2025/04/10 15:55:56,136.42433404922485,2.3m
12,12,0.004852201922385563,0.08959050707221031,0.9665,0.05516845536231994,0.9795,1744268168.6793172,2025/04/10 15:56:08,148.708172082901,2.5m
13,13,0.004824441214720628,0.07917655861377716,0.9703,0.0506617543399334,0.9815,1744268180.9483478,2025/04/10 15:56:20,160.9772026538849,2.7m
14,14,0.004794386564209952,0.07177809799313545,0.9756,0.056465735770761964,0.9795,1744268193.2242832,2025/04/10 15:56:33,173.25313806533813,2.9m
15,15,0.004762067631165048,0.06879776256084442,0.975,0.1290652185678482,0.9625,1744268205.4874244,2025/04/10 15:56:45,185.51627922058105,3.1m
16,16,0.004727516310470919,0.09688843071460723,0.9627,0.06767869970202446,0.9765,1744268217.7475414,2025/04/10 15:56:57,197.77639627456665,3.3m
17,17,0.0046907667001096585,0.09290751376152039,0.9653,0.05313199593871832,0.9815,1744268230.0197766,2025/04/10 15:57:10,210.04863142967224,3.5m
18,18,0.004651855067509859,0.06454815471917391,0.9762,0.06358824396133422,0.9765,1744268242.3316832,2025/04/10 15:57:22,222.36053800582886,3.7m
19,19,0.004610819813755038,0.06316508726477622,0.9749,0.04784874352812767,0.9835,1744268254.6763954,2025/04/10 15:57:34,234.7052502632141,3.9m
20,20,0.004567701435686405,0.05509238631725311,0.9806,0.043944626957178115,0.983,1744268267.101629,2025/04/10 15:57:47,247.13048386573792,4.1m
21,21,0.004522542485937369,0.05629564425945282,0.9788,0.0702417264431715,0.975,1744268279.6200426,2025/04/10 15:57:59,259.6488974094391,4.3m
22,22,0.004475387530939226,0.05897511946856976,0.9778,0.048188873335719105,0.983,1744268292.4287968,2025/04/10 15:58:12,272.4576516151428,4.5m
23,23,0.004426283106939473,0.04922894918322563,0.9819,0.09393073552846909,0.9695,1744268305.205893,2025/04/10 15:58:25,285.2347478866577,4.8m
24,24,0.004375277674076149,0.04751429126560688,0.9826,0.0496554428935051,0.982,1744268317.7391498,2025/04/10 15:58:37,297.768004655838,5.0m
25,25,0.00432242156855353,0.04908294359445572,0.9823,0.062333542346954346,0.978,1744268330.2469726,2025/04/10 15:58:50,310.2758274078369,5.2m
26,26,0.004267766952966369,0.051729327619075775,0.9819,0.04647085016965866,0.985,1744268342.847074,2025/04/10 15:59:02,322.8759288787842,5.4m
27,27,0.004211367764821722,0.04934400562047958,0.9823,0.04595000958442688,0.9835,1744268355.3197017,2025/04/10 15:59:15,335.3485565185547,5.6m
28,28,0.00415327966330913,0.04695150459259748,0.9834,0.07578330354392529,0.9735,1744268367.758846,2025/04/10 15:59:27,347.78770089149475,5.8m
29,29,0.004093559974371725,0.042826189661026,0.9852,0.06738713838160038,0.9735,1744268380.3404222,2025/04/10 15:59:40,360.36927700042725,6.0m
30,30,0.004032267634132442,0.047357678771018985,0.9825,0.03642129701375961,0.988,1744268393.1005876,2025/04/10 15:59:53,373.1294424533844,6.2m
31,31,0.003969463130731184,0.03981617031246424,0.9842,0.0552454881221056,0.9805,1744268406.070923,2025/04/10 16:00:06,386.0997779369354,6.4m
32,32,0.0039052084446303276,0.04583418942093849,0.9837,0.05544763058423996,0.982,1744268418.6631088,2025/04/10 16:00:18,398.69196367263794,6.6m
33,33,0.0038395669874474922,0.045886821399629116,0.983,0.05622179105877876,0.983,1744268431.2236588,2025/04/10 16:00:31,411.25251364707947,6.9m
34,34,0.003772603539375929,0.03775917030870914,0.9864,0.04339879796653986,0.9885,1744268443.840024,2025/04/10 16:00:43,423.86887884140015,7.1m
35,35,0.003704384185254289,0.03900597790181637,0.9861,0.05885682117938995,0.982,1744268456.2737515,2025/04/10 16:00:56,436.302606344223,7.3m
36,36,0.0036349762493488678,0.03651922348365188,0.9867,0.03286642350256443,0.9895,1744268468.7316835,2025/04/10 16:01:08,448.76053833961487,7.5m
