step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,0.005,0.41432218480110167,0.811,0.9095883059501648,0.5,1744267864.5977159,2025/04/10 15:51:04,2.381718873977661,2.4s
2,2,0.0048776412907378846,0.24676754224300385,0.909,2.6173438301086427,0.5,1744267866.5573032,2025/04/10 15:51:06,4.341306209564209,4.3s
3,3,0.0045225424859373685,0.21119459664821624,0.912,2.937290355682373,0.5,1744267868.531546,2025/04/10 15:51:08,6.31554913520813,6.3s
4,4,0.003969463130731183,0.1732457616329193,0.932,1.1640291271209717,0.567,1744267870.5176656,2025/04/10 15:51:10,8.301668643951416,8.3s
5,5,0.0032725424859373687,0.15661435890197753,0.943,0.3420036799907684,0.8635,1744267872.521925,2025/04/10 15:51:12,10.305927991867065,10.3s
6,6,0.0025,0.15142823433876038,0.942,0.16509020161628724,0.935,1744267874.5063272,2025/04/10 15:51:14,12.290330171585083,12.3s
7,7,0.0017274575140626316,0.13944554924964905,0.948,0.14370068979263306,0.944,1744267876.5198948,2025/04/10 15:51:16,14.303897857666016,14.3s
8,8,0.0010305368692688174,0.12673153334856033,0.945,0.1596869012117386,0.9405,1744267878.5336301,2025/04/10 15:51:18,16.317633152008057,16.3s
9,9,0.00047745751406263163,0.1103664745092392,0.963,0.12625673764944076,0.95,1744267880.5735452,2025/04/10 15:51:20,18.357548236846924,18.4s
10,10,0.00012235870926211617,0.11005374872684479,0.957,0.12340244603157044,0.9535,1744267882.6164956,2025/04/10 15:51:22,20.400498628616333,20.4s
