step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,0.005,0.5442637395858765,0.716,0.781999647140503,0.5,1744267884.9579303,2025/04/10 15:51:24,1.8640813827514648,1.9s
2,2,0.0049692208514878445,0.26216226625442507,0.888,2.7147027854919434,0.5,1744267886.4647431,2025/04/10 15:51:26,3.370894193649292,3.4s
3,3,0.0048776412907378846,0.21724191629886627,0.91,3.5403146858215333,0.5,1744267887.9493465,2025/04/10 15:51:27,4.855497598648071,4.9s
4,4,0.00472751631047092,0.1921966768503189,0.928,3.6569362945556643,0.5175,1744267889.3970184,2025/04/10 15:51:29,6.30316948890686,6.3s
5,5,0.004522542485937369,0.16631217312812804,0.924,2.9487982006072997,0.5595,1744267890.8317127,2025/04/10 15:51:30,7.737863779067993,7.7s
6,6,0.004267766952966369,0.12949159467220306,0.946,1.8542484035491944,0.6315,1744267892.2671368,2025/04/10 15:51:32,9.173287868499756,9.2s
7,7,0.003969463130731183,0.14226737892627717,0.944,0.5595112004280091,0.8525,1744267893.714794,2025/04/10 15:51:33,10.62094497680664,10.6s
8,8,0.0036349762493488673,0.12681329572200775,0.942,0.6687037274837494,0.8155,1744267895.166569,2025/04/10 15:51:35,12.072720050811768,12.1s
9,9,0.003272542485937369,0.11184121394157409,0.96,0.4218809428215027,0.871,1744267896.6383548,2025/04/10 15:51:36,13.544505834579468,13.5s
10,10,0.0028910861626005777,0.10353405183553696,0.962,0.24027762174606324,0.9145,1744267898.0776596,2025/04/10 15:51:38,14.983810663223267,15.0s
11,11,0.0025,0.08251163929700851,0.962,0.2224091205596924,0.9135,1744267899.5016832,2025/04/10 15:51:39,16.40783429145813,16.4s
12,12,0.0021089138373994237,0.09154623985290528,0.96,0.23155037331581116,0.9175,1744267900.9548135,2025/04/10 15:51:40,17.86096453666687,17.9s
13,13,0.0017274575140626318,0.07177410835027695,0.982,0.22538927829265595,0.918,1744267902.4289632,2025/04/10 15:51:42,19.335114240646362,19.3s
14,14,0.0013650237506511332,0.07509205821156502,0.974,0.21271410310268402,0.922,1744267903.8585505,2025/04/10 15:51:43,20.76470160484314,20.8s
15,15,0.0010305368692688174,0.06195401328802109,0.98,0.2039611201286316,0.925,1744267905.2934632,2025/04/10 15:51:45,22.19961428642273,22.2s
16,16,0.0007322330470336313,0.054897268772125245,0.982,0.18935956943035126,0.9285,1744267906.7455604,2025/04/10 15:51:46,23.651711463928223,23.7s
17,17,0.00047745751406263163,0.061590720236301424,0.978,0.18766040813922882,0.928,1744267908.226839,2025/04/10 15:51:48,25.13299012184143,25.1s
18,18,0.00027248368952908055,0.04987023079395294,0.992,0.18483653485774995,0.931,1744267909.7317057,2025/04/10 15:51:49,26.63785672187805,26.6s
19,19,0.00012235870926211617,0.05657543176412582,0.982,0.18499608886241914,0.9295,1744267911.2172372,2025/04/10 15:51:51,28.123388290405273,28.1s
20,20,0.00003077914851215585,0.05658822935819626,0.978,0.18539796543121337,0.932,1744267912.672644,2025/04/10 15:51:52,29.578794956207275,29.6s
