step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,0.005,0.726822196483612,0.67,0.5725989358425141,0.822,1744267884.9579303,2025/04/10 15:51:24,1.8640813827514648,1.9s
2,2,0.0049692208514878445,0.28136805081367494,0.89,2.015858114242554,0.706,1744267886.4647431,2025/04/10 15:51:26,3.370894193649292,3.4s
3,3,0.0048776412907378846,0.24606683707237242,0.9,1.464275484085083,0.758,1744267887.9493465,2025/04/10 15:51:27,4.855497598648071,4.9s
4,4,0.00472751631047092,0.1783765149116516,0.93,1.2914474706649781,0.7515,1744267889.3970184,2025/04/10 15:51:29,6.30316948890686,6.3s
5,5,0.004522542485937369,0.18120792543888092,0.93,0.5884871854782104,0.8615,1744267890.8317127,2025/04/10 15:51:30,7.737863779067993,7.7s
6,6,0.004267766952966369,0.15758818793296814,0.932,0.5099985466003418,0.8485,1744267892.2671368,2025/04/10 15:51:32,9.173287868499756,9.2s
7,7,0.003969463130731183,0.15815422970056534,0.926,0.2532039184570313,0.9125,1744267893.714794,2025/04/10 15:51:33,10.62094497680664,10.6s
8,8,0.0036349762493488673,0.14241354835033418,0.94,0.2613055589199066,0.9,1744267895.166569,2025/04/10 15:51:35,12.072720050811768,12.1s
9,9,0.003272542485937369,0.12483826214075089,0.95,0.22905595660209654,0.9185,1744267896.6383548,2025/04/10 15:51:36,13.544505834579468,13.5s
10,10,0.0028910861626005777,0.11649273788928985,0.956,0.2155293664932251,0.919,1744267898.0776596,2025/04/10 15:51:38,14.983810663223267,15.0s
11,11,0.0025,0.0931843374967575,0.966,0.23530936551094056,0.911,1744267899.5016832,2025/04/10 15:51:39,16.40783429145813,16.4s
12,12,0.0021089138373994237,0.10301399099826812,0.954,0.22368603587150573,0.92,1744267900.9548135,2025/04/10 15:51:40,17.86096453666687,17.9s
13,13,0.0017274575140626318,0.09903437191247941,0.962,0.22052859497070312,0.922,1744267902.4289632,2025/04/10 15:51:42,19.335114240646362,19.3s
14,14,0.0013650237506511332,0.11297088629007339,0.962,0.2408276741504669,0.9085,1744267903.8585505,2025/04/10 15:51:43,20.76470160484314,20.8s
15,15,0.0010305368692688174,0.08636536818742752,0.968,0.23313492476940156,0.9105,1744267905.2934632,2025/04/10 15:51:45,22.19961428642273,22.2s
16,16,0.0007322330470336313,0.0804340957403183,0.97,0.22771946513652802,0.922,1744267906.7455604,2025/04/10 15:51:46,23.651711463928223,23.7s
17,17,0.00047745751406263163,0.08996333146095276,0.964,0.22561222672462464,0.921,1744267908.226839,2025/04/10 15:51:48,25.13299012184143,25.1s
18,18,0.00027248368952908055,0.07801460096240044,0.974,0.22114511847496032,0.9225,1744267909.7317057,2025/04/10 15:51:49,26.63785672187805,26.6s
19,19,0.00012235870926211617,0.09959356784820557,0.96,0.2192196009159088,0.923,1744267911.2172372,2025/04/10 15:51:51,28.123388290405273,28.1s
20,20,0.00003077914851215585,0.08762236586213112,0.968,0.2181582127213478,0.922,1744267912.672644,2025/04/10 15:51:52,29.578794956207275,29.6s
