step,lr,epoch,train_loss,train_acc,train_f1
1,0.001,1,1.1804185453591807,0.7614595905089054,0.2565992498708294
2,0.0009999993831498518,2,0.7887589839763608,0.8825698376589386,0.3290050044057803
3,0.0009999975326009292,3,0.713185250899823,0.8876760820377279,0.3430353508658865
4,0.000999994448357798,4,0.6347490136185541,0.8904968330812408,0.35800395311405986
5,0.0009999901304280686,5,0.6399633082395849,0.8975692791709119,0.33825740831918055
6,0.000999984578822395,6,0.572183074581406,0.9051313777772756,0.35355524073613415
7,0.000999977793554475,7,0.5460140152245732,0.9032466432478853,0.35781195834278495
8,0.0009999697746410508,8,0.5427997651304008,0.8956719247020646,0.3667393728752576
9,0.0009999605221019082,9,0.513967555828169,0.9059436534362264,0.35219051832585
10,0.0009999500359598769,10,0.5194374747515818,0.9055726373291432,0.36502930381623183
11,0.0009999383162408303,11,0.4853318946141714,0.9123227495954291,0.34549107255973915
12,0.000999925362973686,12,0.4540210698161644,0.9043326772906018,0.36756221653155446
13,0.0009999111761904045,13,0.41399449005860317,0.9080386001408206,0.39188142325837105
14,0.0009998957559259906,14,0.40858467021657974,0.9144240262056101,0.393259091880147
15,0.000999879102218492,15,0.432596602250993,0.9062812822838822,0.37558365887819267
16,0.0009998612151090004,16,0.417583443335027,0.9048217263200744,0.39735197720344334
17,0.0009998420946416501,17,0.43135596641766655,0.903942139973745,0.37420247242563615
18,0.000999821740863619,18,0.4681946323302044,0.900830162838328,0.3527497285347269
19,0.0009998001538251283,19,0.38440819178736263,0.916652401466929,0.381964443765062
20,0.0009997773335794417,20,0.4488753600193924,0.905950836795691,0.3710083529382597
21,0.0009997532801828658,21,0.3854428595542864,0.9079934255291825,0.356659675697147
22,0.00099972799369475,22,0.40221548490160314,0.908158912634448,0.3805636210112543
23,0.0009997014741774863,23,0.39134585322196896,0.9102166779459381,0.36282598085995194
24,0.000999673721696509,24,0.3577361893355427,0.9112316597670951,0.3754131147380374
25,0.0009996447363202943,25,0.29879025673702847,0.9193340620400822,0.4061927694064814
26,0.0009996145181203613,26,0.3209913266360438,0.9145579346082707,0.43982272661037136
27,0.0009995830671712697,27,0.3342291857849221,0.9138784322851639,0.4136693209689664
28,0.0009995503835506221,28,0.3089658858643417,0.9181886748128139,0.37125654603869007
29,0.000999516467339062,29,0.29697338758024067,0.9177794199978219,0.49869501003119904
30,0.0009994813186202742,30,0.32598296723865156,0.9156345457651681,0.37974161600030815
31,0.0009994449374809847,31,0.3185408111166016,0.9135018299384526,0.4552048152276389
32,0.0009994073240109603,32,0.293576880027933,0.9218366599460668,0.3727616932038803
33,0.0009993684783030086,33,0.3065462919493508,0.924634642594303,0.39529477835455923
34,0.0009993284004529773,34,0.31524614006425655,0.9083724506130025,0.4137472948045889
35,0.0009992870905597548,35,0.29903239700272716,0.9058222386043576,0.39317478908065295
36,0.0009992445487252688,36,0.28031857656098086,0.9182045906410111,0.4388322646594946
37,0.0009992007750544874,37,0.27574143966258186,0.9140863344983099,0.38498739876117527
38,0.0009991557696554174,38,0.2584624544224547,0.9240614466663063,0.40750899403092206
39,0.0009991095326391058,39,0.26172852822734133,0.9204794396132865,0.43731245647005845
40,0.0009990620641196371,40,0.2751715164473489,0.9146684301744237,0.42798105652321805
41,0.0009990133642141356,41,0.2877668890742044,0.9174137560517872,0.4345040375864158
42,0.0009989634330427632,42,0.2644925350767652,0.9219046372833523,0.3778255792364207
43,0.0009989122707287205,43,0.2727986651584063,0.9130203828132397,0.511591280521099
44,0.000998859877398245,44,0.2635492890663308,0.9144768389567163,0.4317227458153708
45,0.0009988062531806122,45,0.25549372425254246,0.9174288584276986,0.5569079736873801
46,0.0009987513982081346,46,0.24937123027216468,0.925568863928759,0.4775854043932182
47,0.0009986953126161614,47,0.2446124777580023,0.9211187057463948,0.40526009657426687
48,0.000998637996543078,48,0.23623671241155675,0.9248464888605118,0.44644268076895915
49,0.0009985794501303064,49,0.2279528223021745,0.9290036080216814,0.40678463820997435
50,0.000998519673522304,50,0.2691543816605603,0.9095179586242983,0.43308019972584033
51,0.0009984586668665635,51,0.25416138848556447,0.9214912206144219,0.426165524370483
52,0.0009983964303136128,52,0.24847127437872948,0.9173867519035271,0.4256710001376335
53,0.0009983329640170144,53,0.24230157709531894,0.9179501216829031,0.4560133978989466
54,0.0009982682681333652,54,0.23196914311657535,0.9179033173527286,0.4615768966537474
55,0.0009982023428222956,55,0.24913302895549727,0.9039631852701457,0.41464970371052995
56,0.00099813518824647,56,0.21677975308738043,0.9237317884388825,0.4274290354976941
57,0.0009980668045715857,57,0.20051447809732822,0.9303198124364629,0.5573708586053046
58,0.0009979971919663725,58,0.2131142701458669,0.9261998755775246,0.4645837784378325
59,0.0009979263506025924,59,0.22410046026889224,0.9185211663997483,0.4184088100461369
60,0.0009978542806550396,60,0.23068782386512351,0.9243826420894088,0.48582405175831883
61,0.0009977809823015396,61,0.2169676982889466,0.9205359140685567,0.5351303199945258
62,0.0009977064557229486,62,0.2180115235225347,0.9221041458724192,0.4630424875805327
63,0.0009976307011031538,63,0.21258626442587436,0.9264719568815616,0.4753462007316382
64,0.000997553718629072,64,0.21593471794797628,0.9191210907507464,0.4368240418343651
65,0.0009974755084906498,65,0.19135391557078213,0.9264488242726562,0.44557765345273637
66,0.0009973960708808628,66,0.23776514853503736,0.9081650228343217,0.45733576890128563
67,0.0009973154059957157,67,0.21381948295272296,0.9150888889850775,0.45700951024388164
68,0.000997233514034241,68,0.1954662892026374,0.9279374253317471,0.452373449332843
69,0.0009971503951984992,69,0.2089165483640582,0.9229989389278165,0.4425086707848117
70,0.0009970660496935772,70,0.20456768778304582,0.9172266442331228,0.5096781312479031
71,0.0009969804777275897,71,0.24347185865271198,0.9133984533569081,0.4516346585338627
72,0.0009968936795116765,72,0.21003269677257697,0.9273091360856955,0.523243435992247
73,0.000996805655260004,73,0.219676985284177,0.9210833465903111,0.45537032937726407
74,0.000996716405189763,74,0.25741679408730034,0.9204659263049432,0.40635272281416757
75,0.0009966259295211694,75,0.2181867186000882,0.9257903962514334,0.42268181015350176
76,0.000996534228477463,76,0.20690691830556798,0.9284844559760363,0.46107995628740145
77,0.0009964413022849066,77,0.2313372178312745,0.9128624688232095,0.44660138730648147
78,0.0009963471511727866,78,0.22652891130127895,0.9174085110811516,0.4597061115217952
79,0.0009962517753734116,79,0.2034915109095298,0.92339551739418,0.4674288614384467
80,0.0009961551751221118,80,0.19610136000374334,0.9244124786014688,0.44674290769663366
81,0.0009960573506572388,81,0.18973700867849047,0.9290268167375116,0.43793889477493275
82,0.0009959583022201644,82,0.18809984186665493,0.9289108771451825,0.519280863549287
83,0.0009958580300552813,83,0.19642620872429006,0.9191703147876061,0.47873035307412487
84,0.0009957565344100004,84,0.2109610002865517,0.9239067646230775,0.4079549768978258
85,0.000995653815534753,85,0.21139044606394164,0.9237203483732198,0.4283660009540444
86,0.0009955498736829872,86,0.19984995397577657,0.9227037631116283,0.43841826663690125
87,0.0009954447091111691,87,0.18088057084974069,0.9290895151201252,0.4318857299081727
88,0.000995338322078782,88,0.23124607159609886,0.9194475635700173,0.41257587214404723
89,0.0009952307128483252,89,0.24634682139369676,0.918221126147549,0.4149758775117816
90,0.000995121881685314,90,0.2086383637083638,0.9171636602547281,0.4341596337936379
91,0.0009950118288582783,91,0.18940220870626537,0.9287630954631432,0.4229598505686892
92,0.0009949005546387626,92,0.2097994932521217,0.9249571274193683,0.4231941118487983
93,0.000994788059301325,93,0.18114008500490897,0.9301176352563472,0.4255367929731211
94,0.0009946743431235366,94,0.20850291989489708,0.9135484200176766,0.4445767966996848
95,0.0009945594063859805,95,0.207436325037586,0.9219299843093877,0.4367336862196736
96,0.000994443249372252,96,0.20434716702913874,0.9160965703858341,0.4992755012387939
97,0.0009943258723689567,97,0.19234730524544788,0.9254635702146427,0.48402996069543874
98,0.000994207275665711,98,0.21370749117037025,0.9234787390610781,0.5502944016305519
99,0.00099408745955514,99,0.2017810617860325,0.9141698571295662,0.576083733238162
100,0.0009939664243328785,100,0.2035657529042698,0.920513521272643,0.4501224123221857
101,0.0009938441702975686,101,0.17955173272297067,0.926161885104603,0.5039939669272389
102,0.0009937206977508601,102,0.17858369298738425,0.9259056862941033,0.4643874592427445
103,0.0009935960069974094,103,0.19221476018171757,0.919991803064268,0.4861449116889776
104,0.0009934700983448782,104,0.1884305688291159,0.9250455313271327,0.5690007629515772
105,0.0009933429721039337,105,0.17149644411141132,0.9322331927811771,0.5027381297342977
106,0.0009932146285882475,106,0.17849265673005488,0.9238545683034296,0.4298083020101004
107,0.0009930850681144942,107,0.18367538265699596,0.9225615037705701,0.5121163283034067
108,0.0009929542910023514,108,0.18771498225207572,0.9237536169266245,0.43594797522754564
109,0.0009928222975744989,109,0.18572158465978966,0.9248499362704334,0.5922950486998708
110,0.000992689088156617,110,0.17625343210131814,0.9303664537298463,0.5590856783672871
111,0.0009925546630773867,111,0.18683042798787078,0.9220351562004743,0.580790571131337
112,0.0009924190226684889,112,0.17881144031491983,0.9232462715413179,0.4433239532394394
113,0.0009922821672646025,113,0.19568605440141523,0.923372397859388,0.4356162289218008
114,0.0009921440972034048,114,0.2070492493833656,0.9256075410956753,0.44444276541905975
115,0.0009920048128255698,115,0.20676209304935464,0.9194990182584194,0.43168474795841566
116,0.000991864314474768,116,0.16309529364445904,0.9344725766191253,0.49234321311342727
117,0.0009917226024976648,117,0.19302090835249847,0.9200204268007912,0.41445770144138094
118,0.0009915796772439207,118,0.1920331846855838,0.927865763085911,0.4655654027356936
119,0.0009914355390661896,119,0.2039959403129901,0.9196604465008583,0.46586073441161335
120,0.000991290188320118,120,0.17895209306302357,0.923220733728469,0.5103271396403433
121,0.0009911436253643446,121,0.16963793861564444,0.930573965018344,0.437250692036682
122,0.0009909958505604985,122,0.1834867041783956,0.9254721141477337,0.4534613173272117
123,0.0009908468642731998,123,0.180310941587608,0.9264214253467807,0.48060826374612364
124,0.000990696666870057,124,0.2031294859682303,0.9229476388343113,0.4361335166670393
125,0.0009905452587216671,125,0.1814464796813082,0.9283797900791125,0.4938018473884637
126,0.0009903926402016153,126,0.18148536330978568,0.9257357976716821,0.4730629224971587
127,0.0009902388116864722,127,0.19260643549705528,0.9199801661076529,0.47332162586930043
128,0.0009900837735557946,128,0.16712630048500404,0.9329244489053758,0.4321379749362758
129,0.0009899275261921233,129,0.18910805322830196,0.9198554104934825,0.5128185420244199
130,0.0009897700699809835,130,0.1687184691864085,0.9346278747474781,0.5267113669295606
131,0.0009896114053108828,131,0.19327655506373864,0.9220639399000734,0.499975845658545
132,0.0009894515325733102,132,0.175230127736575,0.9274205015133056,0.5427450921205145
133,0.000989290452162736,133,0.1953855556779131,0.9253025723789428,0.45649666912151116
134,0.00098912816447661,134,0.1778830561821219,0.9225130551758256,0.46847138133380073
135,0.000988964669915361,135,0.16257219125424,0.9255533539608694,0.4969762797557597
136,0.0009887999688823954,136,0.19595725398408045,0.9140358233106591,0.5594359597524956
137,0.0009886340617840967,137,0.1665528309770587,0.9277124230874326,0.4937356377910649
138,0.0009884669490298243,138,0.18413542472691913,0.9207432818015578,0.4962212977996248
139,0.0009882986310319121,139,0.1751885662963254,0.9212106725665129,0.4784993453989559
140,0.0009881291082056683,140,0.15635163330126461,0.930294193364969,0.4682187918500847
141,0.0009879583809693736,141,0.1880547203169398,0.9244388555819126,0.4507411289658256
142,0.0009877864497442803,142,0.16410634978779412,0.9275169849200939,0.4843163139709668
143,0.0009876133149546117,143,0.2049068181288351,0.9107755897556953,0.518023476527116
144,0.0009874389770275606,144,0.1826887790787923,0.9233430130969077,0.4420396165235719
145,0.0009872634363932886,145,0.17114464546308963,0.921368034370066,0.5122787037877551
146,0.0009870866934849247,146,0.16321064436561245,0.9240049046758809,0.48442378642157147
