step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.3178032860438029,0.4088,,
2,0.0004999691581204152,2,0.2681769514719645,0.5224,0.2763365381558736,0.463
3,0.0004998766400914329,3,0.24746099100112914,0.5464,,
4,0.0004997224687404926,4,0.2320615120569865,0.579,0.2378052231470744,0.552
5,0.0004995066821070679,5,0.22372570899327596,0.5882,,
6,0.000499229333433282,6,0.2137931573867798,0.5988,0.21988120698928834,0.575
7,0.00049889049115077,7,0.2085919157663981,0.6068,,
8,0.0004984902388637949,8,0.20451404310862223,0.6118,0.216551917552948,0.597
9,0.0004980286753286195,9,0.19838767983118694,0.6278,,
10,0.0004975059144291394,10,0.1969551773707072,0.6296,0.20231528663635254,0.619
11,0.0004969220851487844,11,0.19279992376963298,0.6398,,
12,0.0004962773315386935,12,0.188537762037913,0.6404,0.1960375502904256,0.634
13,0.0004955718126821722,13,0.1863080790201823,0.6416,,
14,0.0004948057026554414,14,0.1836650400797526,0.6528,0.18871376832326253,0.639
15,0.0004939791904846868,15,0.18002695757548015,0.6526,,
16,0.0004930924800994191,16,0.17696669766108195,0.6616,0.18993534866968792,0.622
17,0.0004921457902821577,17,0.17487776505152383,0.6672,,
18,0.0004911393546144495,18,0.17339238080978395,0.675,0.18228794781366983,0.66
19,0.0004900734214192357,19,0.17190889441172283,0.6764,,
20,0.0004889482536995824,20,0.16828386631011963,0.6796,0.18146633052825928,0.65
21,0.0004877641290737883,21,0.16507815682093302,0.6872,,
22,0.00048652133970688617,22,0.16495247151056924,0.687,0.1700120703379313,0.681
23,0.0004852201922385562,23,0.16225204083124797,0.6928,,
24,0.0004838610077074667,24,0.1588230568885803,0.6966,0.1706827873388926,0.69
25,0.00048244412147206266,25,0.15682650068600973,0.7004,,
26,0.0004809698831278215,26,0.1563812733332316,0.7076,0.16805189895629882,0.694
27,0.00047943865642099503,27,0.1553789870262146,0.705,,
28,0.00047785081915886106,28,0.1553039521853129,0.7096,0.1669380563100179,0.679
29,0.0004762067631165046,29,0.15491032876968383,0.706,,
30,0.00047450689394015364,30,0.1556785977522532,0.7062,0.15925927956899008,0.705
31,0.0004727516310470917,31,0.1490945305665334,0.7154,,
32,0.00047094140752217313,32,0.14930069080988567,0.7154,0.15897554524739582,0.694
33,0.00046907667001096557,33,0.14754111315409343,0.7146,,
34,0.00046715787860954753,34,0.14635605783462524,0.721,0.1527225521405538,0.716
35,0.00046518550675098564,35,0.14317203540802,0.7258,,
36,0.0004631600410885228,36,0.14212965463002522,0.7298,0.15213671469688417,0.712
