step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.3853229595820109,0.096
2,0.0004999996915749259,2,0.37077579498291013,0.18
3,0.0004999987663004646,3,0.36186122862497966,0.204
4,0.000499997224178899,4,0.351065136273702,0.25
5,0.0004999950652140343,5,0.34391751702626544,0.282
