step,lr,epoch,train_loss
1,0.001,1,0.006208054285570979
2,0.001,2,0.004140228478908539
3,0.001,3,0.0040634952306747435
4,0.001,4,0.004069945359230042
5,0.001,5,0.004100819384157657
6,0.001,6,0.004078840456083417
7,0.001,7,0.004031734769791365
8,0.001,8,0.004007053152918816
9,0.001,9,0.003973623271733523
10,0.001,10,0.003970455920994282
11,0.001,11,0.0039439108162373305
12,0.001,12,0.003955214970707894
13,0.001,13,0.003945796364843846
14,0.001,14,0.003935339936763049
15,0.001,15,0.003934478874653578
16,0.001,16,0.003911911695227027
17,0.001,17,0.003912724616155028
18,0.001,18,0.003912638282328844
19,0.001,19,0.003913451692312956
20,0.001,20,0.003913934955000877
21,0.001,21,0.003908897592201829
22,0.001,22,0.003914606990069151
23,0.001,23,0.0038979799120873212
24,0.001,24,0.0039027699360251428
25,0.001,25,0.0038904331796616315
26,0.001,26,0.003893972706049681
27,0.001,27,0.0039002694550901652
28,0.001,28,0.0038955904453992843
29,0.001,29,0.0038899079198390246
30,0.001,30,0.0038906366943567993
31,0.001,31,0.0038900442533195017
32,0.001,32,0.003889954803735018
33,0.001,33,0.0038837574535608294
34,0.001,34,0.003889134520813823
35,0.001,35,0.003897251559123397
36,0.001,36,0.003877609409540892
37,0.001,37,0.0038831310468167065
38,0.001,38,0.0038775018142163755
39,0.001,39,0.0038793145962059497
40,0.001,40,0.0038833220748603343
41,0.001,41,0.0038752805967628957
42,0.001,42,0.00388062536239624
43,0.001,43,0.0038687241879850624
44,0.001,44,0.0038811702217161656
45,0.001,45,0.0038847600466012954
46,0.001,46,0.0038739855650067327
47,0.001,47,0.003874696964174509
48,0.001,48,0.003873373641073704
49,0.001,49,0.003869882476553321
50,0.001,50,0.0038708738238364456
51,0.001,51,0.003867492205351591
52,0.001,52,0.0038680714356899262
53,0.001,53,0.0038674154764413832
54,0.001,54,0.0038670259489864112
55,0.001,55,0.0038663320887088776
56,0.001,56,0.003875307662189007
57,0.001,57,0.003864304889291525
58,0.001,58,0.003865191998332739
59,0.001,59,0.003868472531810403
60,0.001,60,0.003861399710327387
61,0.001,61,0.003870959979891777
62,0.001,62,0.0038591525998711586
63,0.001,63,0.0038675635427981615
64,0.001,64,0.003859210356473923
65,0.001,65,0.0038677506397664548
66,0.001,66,0.0038511739996075632
67,0.001,67,0.003863842035159469
68,0.001,68,0.003861884168535471
69,0.001,69,0.0038696101542562244
70,0.001,70,0.0038556837621331213
71,0.001,71,0.0038681441833078862
72,0.001,72,0.0038654882436990738
73,0.001,73,0.003864241273701191
74,0.001,74,0.0038597096090763807
75,0.001,75,0.003856583601385355
76,0.001,76,0.003850919608324766
77,0.001,77,0.0038627292399853468
78,0.001,78,0.003857992296218872
79,0.001,79,0.0038543994343280793
80,0.001,80,0.003856993668526411
81,0.001,81,0.003862165556550026
82,0.001,82,0.0038535096647590397
83,0.001,83,0.0038512655223160983
84,0.001,84,0.003866439313441515
85,0.001,85,0.0038567391350120307
86,0.001,86,0.003860082341954112
87,0.001,87,0.003845370358005166
88,0.001,88,0.0038555656217038633
89,0.001,89,0.003847750934958458
90,0.001,90,0.0038484134078770878
91,0.001,91,0.0038492384494841097
92,0.001,92,0.0038518432422727346
93,0.001,93,0.003855325215309858
94,0.001,94,0.0038538080251961948
95,0.001,95,0.0038539128769189118
96,0.001,96,0.0038572521242499352
97,0.001,97,0.0038506089367717506
98,0.001,98,0.003848663345128298
99,0.001,99,0.003843809190541506
100,0.001,100,0.00385442143432796
