step,lr,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.0003,1,1.8130427765507326,0.21975995233095935,0.21972297545230335,2.910459415383861,0.41792399319342033,0.2991710162816741
2,0.00029999991775330414,2,1.5934431490851995,0.3904037681241665,0.26149662344655333,1.75571411878496,0.5641520136131594,0.3256177342191462
3,0.0002999996710133069,3,1.5436678558873003,0.45708367619101664,0.27243250854228945,1.6236153463038003,0.5733408961996597,0.31525048100621816
4,0.00029999925978027874,4,1.4282050961631991,0.5292114746190733,0.27892514024091664,1.6808213418137263,0.660805445263755,0.339625858566885
5,0.0002999986840546706,5,1.398352933742468,0.5791220951678347,0.2805587748310657,1.5080059461815412,0.7296653431650596,0.34110931952978424
6,0.00029999794383711397,6,1.3297079555178475,0.5969412365576143,0.2872561931393161,3.2982167641141507,0.685195689166194,0.32703547725586235
7,0.0002999970391284205,7,1.3331370903421902,0.6053400675311409,0.288430127549125,2.244495407871002,0.7503119682359615,0.35216978244037617
8,0.00029999596992958235,8,1.3312649394063942,0.6374599211190874,0.29604176540746113,1.5395326262769953,0.7771979580260919,0.3687337000634555
9,0.00029999473624177207,9,1.3296818655417935,0.6474760945435973,0.3025660778550856,2.1011750977349024,0.723539421440726,0.3399438347722218
10,0.00029999333806634247,10,1.2502827609474616,0.6397298754362568,0.2980810925414877,1.7830516415702573,0.7615428247305729,0.35633060711021364
11,0.0002999917754048268,11,1.2672671900601107,0.6559884232329825,0.3056954251238348,1.5870100772996145,0.7733408961996596,0.36952747513105094
12,0.00029999004825893876,12,1.2537976736493783,0.6611809437335073,0.30531104817073745,2.071573888248026,0.7352240499149177,0.3523716030732853
13,0.0002999881566305724,13,1.2919177828374118,0.6425956927616832,0.3079525244222279,1.7809286576337051,0.7188882586500284,0.3672556687996228
14,0.00029998610052180206,14,1.2385233317710105,0.6631671537610305,0.3089853662437159,1.6763724115715741,0.7712989222915485,0.37193565591383476
15,0.0002999838799348826,15,1.207654139952482,0.673580569191045,0.31254830986206156,5.429367152926466,0.7989790130459444,0.38380912179838805
16,0.00029998149487224903,16,1.2426589837231363,0.6838237380472718,0.3157103468007599,2.781925924042038,0.784344866704481,0.3801338681981603
17,0.00029997894533651697,17,1.2202300368577645,0.6904633544249922,0.320308048660698,1.7980517571579646,0.7931934203062961,0.3774648754461914
18,0.0002999762313304823,18,1.2337525960613867,0.6870584229492381,0.3170610248204193,1.738021814343068,0.7638116846284742,0.36302646534939537
19,0.0002999733528571212,19,1.1826388896690427,0.6853843316403258,0.31726425330863695,1.9943025555045377,0.7936471922858763,0.38669224420268844
20,0.0002999703099195904,20,1.2026244583334997,0.6881366512498936,0.32588946656729245,1.7865137268857259,0.7926262053318207,0.38131893383207194
21,0.00029996710252122675,21,1.159068966055283,0.6877110348154244,0.32671312371997185,2.0869187882050695,0.7903573454339194,0.3804408347811191
22,0.00029996373066554753,22,1.1885902896031746,0.6954005050648355,0.3226957653411877,1.8162196576426264,0.8,0.3832663028579925
23,0.00029996019435625043,23,1.1552581817416534,0.6943222767641801,0.3240533890777816,1.9162901224091995,0.7900170164492343,0.3899168140080028
24,0.0002999564935972135,24,1.1891242564443298,0.7036574638935391,0.33211044773649484,2.3025494874098458,0.8137266023823029,0.4040644107876198
25,0.0002999526283924949,25,1.2265847526397458,0.6900093635615583,0.3193893854275566,2.001313640357281,0.7783323879750426,0.37680211816309844
26,0.0002999485987463335,26,1.1310049651940444,0.6954856283517294,0.32618183412715646,1.7841713489014792,0.7743618831537152,0.39554097375373626
27,0.0002999444046631482,27,1.1204871424642868,0.6967341032261726,0.3260224022829297,5.30114057195234,0.8019285309132161,0.3968607895876742
