step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.38272260888417564,0.112
2,0.0004999996915749259,2,0.3742763614654541,0.172
3,0.0004999987663004646,3,0.3670215946833293,0.234
4,0.000499997224178899,4,0.36002536582946776,0.24
5,0.0004999950652140343,5,0.35358452033996585,0.278
