step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.3893266096115112,0.13
2,0.0004999996915749259,2,0.3721797326405843,0.182
3,0.0004999987663004646,3,0.36307138951619466,0.19
4,0.000499997224178899,4,0.3495797204971314,0.234
5,0.0004999950652140343,5,0.3399527521133423,0.276
