"Name","State","Notes","User","Tags","Created","Runtime","Sweep","T","batch_size","dataname","div","ensembles","epochs","max_lr","modelname","num_gpus","optimizer","scheduler","smooth","test_acc","test_loss","train_acc","train_loss"
"resnet50_12.0_1_1","finished","-","","","2024-10-29T11:52:23.000Z","1179","","12","32","dtd","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.40797872340425534","0.08499099165201188","0.9973404255319148","0.0020190316272225787"
"resnet50_12.0_1_1","finished","-","","","2024-10-29T11:22:11.000Z","1801","","12","32","flowers102","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.5454545454545454","0.06079199162985391","1","0.0016321444810897697"
"resnet50_12.0_1_1","finished","-","","","2024-10-29T10:27:24.000Z","3275","","12","32","caltech101","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.901689708141321","0.013812976493035228","0.999835336736374","0.0015660505281770796"
"resnet50_1.0_4_12","finished","-","","","2024-10-28T21:27:56.000Z","28301","","1","32","gtsrb","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.8744259699129058","0.015415935176745449","0.9934309309309308","0.0009894856772061811"
"resnet50_1.0_4_12","finished","-","","","2024-10-28T19:54:43.000Z","5584","","1","32","oxfordpet","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.5516489506677569","0.060628170276994305","0.991304347826087","0.002315406275548689"
"resnet50_1.0_4_12","finished","-","","","2024-10-28T19:06:51.000Z","2865","","1","32","dtd","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.373936170212766","0.1089914081578559","0.9441489361702128","0.007771280356385606"
"resnet50_1.0_4_12","finished","-","","","2024-10-28T18:00:30.000Z","3974","","1","32","flowers102","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.4210440722068629","0.1151194123211678","0.9980392156862744","0.0009062242237668412"
"resnet50_1.0_4_12","finished","-","","","2024-10-28T15:54:12.000Z","7568","","1","32","caltech101","4","12","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.8298771121351767","0.02199936521950589","0.9976947143092376","0.0013651284965044404"
"resnet50_1.0_2_3","finished","-","","","2024-10-28T13:41:33.000Z","7948","","1","32","gtsrb","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.9083135391923992","0.011629488573410354","0.9986111111111112","0.00031938437240386337"
"resnet50_1.0_2_3","finished","-","","","2024-10-28T12:55:34.000Z","2754","","1","32","oxfordpet","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.621967838648133","0.05006112369489657","0.9997282608695652","0.0003852920048065362"
"resnet50_1.0_2_3","finished","-","","","2024-10-28T12:31:57.000Z","1410","","1","32","dtd","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.3622340425531914","0.11050383943192502","0.950531914893617","0.00717406996149332"
"resnet50_1.0_2_3","finished","-","","","2024-10-28T11:59:08.000Z","1963","","1","32","flowers102","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.3968124898357456","0.1212407010944418","0.9980392156862744","0.0009651142537739932"
"resnet50_1.0_2_3","finished","-","","","2024-10-28T10:56:57.000Z","3725","","1","32","caltech101","2","3","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.8387096774193549","0.02017151766789994","1","0.00046556808351035"
"resnet50_1.0_1_1","finished","-","","","2024-10-28T09:57:57.000Z","3532","","1","32","gtsrb","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.914251781472684","0.011463159991403184","0.9988363363363364","0.0002030953881592985"
"resnet50_1.0_1_1","finished","-","","","2024-10-28T09:16:03.000Z","2508","","1","32","oxfordpet","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.5802671027527937","0.05137867490872924","1","0.0003422540542922671"
"resnet50_1.0_1_1","finished","-","","","2024-10-28T08:54:34.000Z","1276","","1","32","dtd","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.3627659574468085","0.12882979302964312","0.9914893617021276","0.0014108837879401573"
"resnet50_1.0_1_1","finished","-","","","2024-10-28T08:23:58.000Z","1827","","1","32","flowers102","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.4190925353716051","0.10723311651605918","0.9990196078431371","0.0007448233691427638"
"resnet50_1.0_1_1","finished","-","","","2024-10-28T07:27:39.000Z","3367","","1","32","caltech101","1","1","200","0.1","resnet50","1","SGD","CosineAnnealingLR","0","0.8475422427035331","0.020222744347953944","1","0.000311530100250095"
