step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,3.5934666908495942,0.2595093034743949,4.060032829161613,0.1870199692780338
2,0.0004998766400914329,2,3.016976085660015,0.3332784455787914,3.9283762893735354,0.25
3,0.0004995066821070679,3,2.81616302202389,0.3665404248312202,5.303143232465706,0.21159754224270352
4,0.00049889049115077,4,2.616624629303197,0.40293100609254073,3.44077641476867,0.2672811059907834
5,0.0004980286753286195,5,2.505925461151799,0.41528075086448213,3.475660128161288,0.2619047619047619
6,0.0004969220851487844,6,2.363563360501294,0.44310884241725673,2.7192258076733706,0.38748079877112135
7,0.0004955718126821722,7,2.2418272347264168,0.4655030462703771,2.7211072781851398,0.3901689708141321
8,0.0004939791904846868,8,2.1495550606880083,0.4816400461057138,2.988891742928969,0.3844086021505376
9,0.0004921457902821577,9,2.0575425271910968,0.4938251276140293,2.8141987624073175,0.40168970814132104
10,0.0004900734214192357,10,1.9665520512329457,0.5111147702947473,3.37220761376775,0.2799539170506912
11,0.00048776412907378835,11,1.906937637518329,0.5282397497118393,2.6882549097644204,0.4112903225806452
12,0.00048522019223855637,12,1.802586142164507,0.5417421373291619,2.8471853205685242,0.3709677419354839
13,0.00048244412147206283,13,1.723389554942398,0.5605137493825127,2.5172601687377134,0.42780337941628266
14,0.00047943865642099525,14,1.6571256023212573,0.5708875349909435,2.8849792136208436,0.36482334869431643
15,0.0004762067631165049,15,1.6142223754432437,0.5842252593446402,2.654425778879731,0.4423963133640553
16,0.00047275163104709196,16,1.5281538474742338,0.6013502387617322,2.7754353374563236,0.3870967741935484
17,0.0004690766700109659,17,1.4317076058986846,0.6206158406059608,2.2772586005074635,0.48502304147465436
18,0.00046518550675098597,18,1.3952573707620768,0.6298369833690104,2.5883904693679693,0.4362519201228879
19,0.0004610819813755038,19,1.3293032209817846,0.6430100444590812,2.4750038295663814,0.4665898617511521
20,0.0004567701435686405,20,1.2598259559126008,0.6612876667215544,2.5393941775994366,0.46889400921658986
21,0.00045225424859373693,21,1.2235446189236212,0.6645809319940721,2.229166464505291,0.5015360983102919
22,0.0004475387530939226,22,1.150339862473141,0.6817059114111642,2.4707119919004894,0.48502304147465436
23,0.0004426283106939473,23,1.089718750334642,0.704758768318788,2.2393929606758505,0.5126728110599078
24,0.0004375277674076149,24,1.0195194347753136,0.720566441626873,2.3346396062048167,0.5080645161290323
25,0.00043224215685535287,25,0.9706667589430712,0.7276469619627861,2.4739097406237907,0.4792626728110599
26,0.00042677669529663686,26,0.9240755744924974,0.7398320434711017,2.896269357698854,0.4216589861751152
