step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.38302057615915935,0.12
2,0.0004999996915749259,2,0.379165332476298,0.198
3,0.0004999987663004646,3,0.3766656370162964,0.21
4,0.000499997224178899,4,0.37413694445292156,0.218
5,0.0004999950652140343,5,0.37212329991658527,0.228
