step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,0.005,0.7852129681110382,0.735,119.06507183837891,0.5505,1744267864.5977159,2025/04/10 15:51:04,2.381718873977661,2.4s
2,2,0.0048776412907378846,0.41400247597694395,0.838,0.7351355684995651,0.863,1744267866.5573032,2025/04/10 15:51:06,4.341306209564209,4.3s
3,3,0.0045225424859373685,0.33846410727500914,0.873,0.43009043502807615,0.8745,1744267868.531546,2025/04/10 15:51:08,6.31554913520813,6.3s
4,4,0.003969463130731183,0.28528865170478823,0.886,0.34447338557243345,0.8795,1744267870.5176656,2025/04/10 15:51:10,8.301668643951416,8.3s
5,5,0.0032725424859373687,0.2717789206504822,0.901,0.3025043330192566,0.881,1744267872.521925,2025/04/10 15:51:12,10.305927991867065,10.3s
6,6,0.0025,0.24790761470794678,0.898,0.25636939859390256,0.894,1744267874.5063272,2025/04/10 15:51:14,12.290330171585083,12.3s
7,7,0.0017274575140626316,0.2462890123128891,0.902,0.2560030910968781,0.8925,1744267876.5198948,2025/04/10 15:51:16,14.303897857666016,14.3s
8,8,0.0010305368692688174,0.2357595763206482,0.909,0.2300665204524994,0.8965,1744267878.5336301,2025/04/10 15:51:18,16.317633152008057,16.3s
9,9,0.00047745751406263163,0.2173422569036484,0.916,0.21985981726646422,0.908,1744267880.5735452,2025/04/10 15:51:20,18.357548236846924,18.4s
10,10,0.00012235870926211617,0.22073572611808776,0.905,0.21702817869186403,0.908,1744267882.6164956,2025/04/10 15:51:22,20.400498628616333,20.4s
