step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.32194202791849774,0.3562,,
2,0.0004999691581204152,2,0.2756062572479248,0.4556,0.27206146812438964,0.452
3,0.0004998766400914329,3,0.26092779512405395,0.4848,,
4,0.0004997224687404926,4,0.24419888270696005,0.5216,0.2556595231691996,0.475
5,0.0004995066821070679,5,0.23947192309697468,0.5252,,
6,0.000499229333433282,6,0.22933719561894736,0.5504,0.23425539588928224,0.509
7,0.00049889049115077,7,0.22174111893971762,0.5668,,
8,0.0004984902388637949,8,0.21718276081085205,0.5724,0.2288762895266215,0.543
9,0.0004980286753286195,9,0.21206137765248617,0.5808,,
10,0.0004975059144291394,10,0.2049237047513326,0.5978,0.21927605136235556,0.55
11,0.0004969220851487844,11,0.20224793993631998,0.5986,,
12,0.0004962773315386935,12,0.19795493790308635,0.6122,0.21957041915257772,0.554
13,0.0004955718126821722,13,0.19207016280492148,0.6256,,
14,0.0004948057026554414,14,0.1872636931737264,0.636,0.19371107387542724,0.628
15,0.0004939791904846868,15,0.18413455015818278,0.6392,,
16,0.0004930924800994191,16,0.18777084172566733,0.6338,0.20812556632359822,0.589
17,0.0004921457902821577,17,0.1839954916636149,0.6412,,
18,0.0004911393546144495,18,0.17521914965311686,0.655,0.19083644898732502,0.635
19,0.0004900734214192357,19,0.1716890039761861,0.6676,,
20,0.0004889482536995824,20,0.17197984965642293,0.6568,0.19239100329081218,0.616
21,0.0004877641290737883,21,0.16615638926823934,0.6682,,
22,0.00048652133970688617,22,0.16573158181508382,0.6764,0.19438068310419718,0.609
23,0.0004852201922385562,23,0.16417705912590028,0.6762,,
24,0.0004838610077074667,24,0.1593792826016744,0.6778,0.1796848373413086,0.636
25,0.00048244412147206266,25,0.1584863576253255,0.6902,,
26,0.0004809698831278215,26,0.15345332349141438,0.6998,0.17184264024098714,0.639
27,0.00047943865642099503,27,0.15226185240745543,0.6994,,
28,0.00047785081915886106,28,0.15092991094589234,0.6966,0.1697147617340088,0.647
29,0.0004762067631165046,29,0.14665563332239787,0.7106,,
30,0.00047450689394015364,30,0.14450092690785726,0.7164,0.16391305271784465,0.675
31,0.0004727516310470917,31,0.1465500592549642,0.7092,,
32,0.00047094140752217313,32,0.14605649735132853,0.7102,0.16718363571166991,0.678
33,0.00046907667001096557,33,0.1430911256790161,0.7162,,
